Altium Designer Pick and Place Locations
D:\BEE-DAL\BEE-DAL_EXP_V1.0\01_DESIGN\Project Outputs for BEE-DAL_EXP_V1.0\Pick Place for BEE-DAL_EXP_V1.0.csv

========================================================================================================================
File Design Information:

Date:       10-08-26
Time:       22:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J14","5040500591","TopLayer","MOLEX_5040500591","86.6530","44.7519","270",""
"J13","5040500591","BottomLayer","MOLEX_5040500591","86.6530","44.7519","90",""
"U37","OPA2340UA","TopLayer","SOIC127P602X173-8N","76.1348","59.8262","180",""
"U36","OPA2340UA","TopLayer","SOIC127P602X173-8N","76.1348","52.8817","180",""
"R355","10k","TopLayer","RES_C_1005X40","71.1434","62.5112","0","RES"
"R354","22R","TopLayer","RES_C_1005X40","71.1434","61.4884","0","RES"
"R353","22R","TopLayer","RES_C_1005X40","71.1434","58.4200","180","RES"
"R352","10k","TopLayer","RES_C_1005X40","81.0348","61.7312","0","RES"
"R351","22R","TopLayer","RES_C_1005X40","81.0348","60.7360","180","RES"
"R350","22R","TopLayer","RES_C_1005X40","81.0348","57.7502","0","RES"
"R349","10k","TopLayer","RES_C_1005X40","71.1434","55.5668","0","RES"
"R348","22R","TopLayer","RES_C_1005X40","71.1434","54.5440","0","RES"
"R347","22R","TopLayer","RES_C_1005X40","71.1434","51.4756","180","RES"
"R346","10k","TopLayer","RES_C_1005X40","81.0348","54.7868","0","RES"
"R345","22R","TopLayer","RES_C_1005X40","81.0348","53.7915","180","RES"
"R344","22R","TopLayer","RES_C_1005X40","81.0348","50.8058","0","RES"
"R343","10k","BottomLayer","RES_C_1005X40","78.2000","51.9241","180","RES"
"R342","10k","BottomLayer","RES_C_1005X40","78.2000","44.0908","180","RES"
"R341","120R","BottomLayer","RES_C_1005X40","75.6686","51.9241","0","RES"
"R340","120R","BottomLayer","RES_C_1005X40","75.6686","44.0908","0","RES"
"R339","10k","BottomLayer","RES_C_1005X40","78.2000","48.0074","180","RES"
"R338","10k","BottomLayer","RES_C_1005X40","78.2000","55.8408","180","RES"
"R337","120R","BottomLayer","RES_C_1005X40","75.6686","48.0074","0","RES"
"R336","120R","BottomLayer","RES_C_1005X40","75.6686","55.8408","0","RES"
"R335","22R","TopLayer","RES_C_1005X40","28.7950","43.8026","180","RES"
"R334","22R","TopLayer","RES_C_1005X40","28.7950","39.7439","0","RES"
"Q4","AO3400A","BottomLayer","SOT95P240X120-3N","72.3259","53.1741","0","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q3","AO3400A","BottomLayer","SOT95P240X120-3N","72.3259","45.3408","0","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q2","AO3400A","BottomLayer","SOT95P240X120-3N","72.3259","49.2574","0","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"Q1","AO3400A","BottomLayer","SOT95P240X120-3N","72.3259","57.0908","0","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"JP5","DNP/0R","TopLayer","JUMPER_1-2_1608X60","74.5284","24.4000","180",""
"J20","5040500891","TopLayer","MOLEX_5040500891","86.7250","29.2977","270",""
"J19","5040500891","TopLayer","MOLEX_5040500891","86.7250","59.8000","270",""
"J18","5040500891","BottomLayer","MOLEX_5040500891","86.7250","59.8000","90",""
"D21","1N4007FL","BottomLayer","SOD3717X145N","76.7495","53.7225","180","Default Diode"
"D20","1N4007FL","BottomLayer","SOD3717X145N","76.7495","45.8892","180","Default Diode"
"D19","1N4007FL","BottomLayer","SOD3717X145N","76.7495","49.8059","180","Default Diode"
"D18","1N4007FL","BottomLayer","SOD3717X145N","76.7495","57.6392","180","Default Diode"
"C179","0.1uF/10V","TopLayer","CAP_C_1005X60","71.1434","59.4428","0","CAP"
"C178","0.1uF/10V","TopLayer","CAP_C_1005X60","71.1434","60.4656","0","CAP"
"C177","0.1uF/10V","TopLayer","CAP_C_1005X60","81.0348","58.7455","180","CAP"
"C176","0.1uF/10V","TopLayer","CAP_C_1005X60","81.0348","59.7407","180","CAP"
"C175","1uF/20V","TopLayer","CAP_C_1005X60","71.1434","57.3972","0","CAP"
"C174","0.1uF/10V","TopLayer","CAP_C_1005X60","71.1434","52.4984","0","CAP"
"C173","0.1uF/10V","TopLayer","CAP_C_1005X60","71.1434","53.5212","0","CAP"
"C172","0.1uF/10V","TopLayer","CAP_C_1005X60","81.0348","51.8010","180","CAP"
"C171","0.1uF/10V","TopLayer","CAP_C_1005X60","81.0348","52.7963","180","CAP"
"C170","1uF/20V","TopLayer","CAP_C_1005X60","71.1434","50.4528","0","CAP"
"C169","1uF/20V","BottomLayer","CAP_C_1005X60","78.2000","42.8713","0","CAP"
"R77","22R","TopLayer","RES_C_1005X40","43.0233","55.9200","90","RES"
"U35","MAX22200ETJ+T","TopLayer","21-0140AK_T3255_8C_MXM","75.3935","76.3163","0","36V, 1A Octal Integrated Serial-Controlled Solenoid and Motor Driver"
"R417","20k","TopLayer","RES_C_1005X40","79.9345","74.1830","180","RES"
